# Thursday, February 16, 2017 at 2:56 PM
# Force: [Time, MagPos, RotState, AFZ avg, AFZ error, X flucts, Y flucts, F, F error, Comment]
 11199.319   1288   0.00       2.6235     0.0232     1.1082     0.9444       0.5628     0.0517    Force_Fourier
# Force: [Time, MagPos, RotState, AFZ avg, AFZ error, X flucts, Y flucts, F, F error, Comment]
 11297.805   1288   0.00       2.6235     0.0232     1.4036     6.3727       0.1486     0.0112    Force_Fourier
# Set Z DNA to: 21.58
# Set Z DNA to: 17.11
# Set Z REF to: 19.83
# AFZ: [Time, MagPos, RotState, AFZ_avg, AFZ_error, AFZ_current, Z REF, Z DNA, Comment]
 11856.879   1288 -40.00       0.2982     0.0324       0.5267       18       18             AFZ
 11860.902   1288 -40.00       0.3052     0.0321       0.5204       18       18             AFZ
 11864.893   1288 -40.00       0.3165     0.0330       0.6795       18       18             AFZ
 11868.964   1288 -40.00       0.3228     0.0327       0.5307       18       18             AFZ
 11872.980   1288 -40.00       0.3318     0.0329       0.6368       18       18             AFZ
 11877.011   1288 -40.00       0.3412     0.0334       0.6720       18       18             AFZ
 11881.042   1288 -40.00       0.3523     0.0342       0.7491       18       18             AFZ
 11885.101   1288 -40.00       0.3573     0.0337       0.5422       18       18             AFZ
 11889.115   1288 -35.00       0.3643     0.0336       0.6313       18       18             AFZ
 11893.197   1288 -35.00       0.3730     0.0338       0.7134       18       18             AFZ
 11897.209   1288 -35.00       0.3802     0.0338       0.6675       18       18             AFZ
 11901.232   1288 -35.00       0.3885     0.0340       0.7286       18       18             AFZ
 11905.267   1288 -35.00       0.3981     0.0345       0.8006       18       18             AFZ
 11909.264   1288 -35.00       0.4057     0.0345       0.7335       18       18             AFZ
 11913.332   1288 -35.00       0.4153     0.0351       0.8376       18       18             AFZ
 11917.385   1288 -35.00       0.4239     0.0354       0.8128       18       18             AFZ
 11921.398   1288 -35.00       0.4337     0.0359       0.8837       18       18             AFZ
 11925.483   1288 -35.00       0.4405     0.0358       0.7584       18       18             AFZ
 11929.507   1288 -30.00       0.4474     0.0358       0.7777       18       18             AFZ
 11933.564   1288 -30.00       0.4553     0.0359       0.8425       18       18             AFZ
 11937.628   1288 -30.00       0.4610     0.0357       0.7486       18       18             AFZ
 11941.636   1288 -30.00       0.4662     0.0353       0.7299       18       18             AFZ
 11945.681   1288 -30.00       0.4743     0.0356       0.8954       18       18             AFZ
 11949.702   1288 -30.00       0.4815     0.0357       0.8660       18       18             AFZ
 11953.765   1288 -30.00       0.4841     0.0351       0.6217       18       18             AFZ
 11957.786   1288 -30.00       0.4919     0.0353       0.9197       18       18             AFZ
 11961.790   1288 -30.00       0.4988     0.0354       0.8870       18       18             AFZ
 11965.810   1288 -30.00       0.5044     0.0352       0.8233       18       18             AFZ
 11969.874   1288 -30.00       0.5102     0.0351       0.8443       18       18             AFZ
 11973.889   1288 -25.00       0.5154     0.0349       0.8255       18       18             AFZ
 11977.928   1288 -25.00       0.5189     0.0345       0.7267       18       18             AFZ
 11981.941   1288 -25.00       0.5210     0.0340       0.6519       18       18             AFZ
 11985.953   1288 -25.00       0.5267     0.0339       0.8772       18       18             AFZ
 11989.991   1288 -25.00       0.5281     0.0334       0.6180       18       18             AFZ
 11994.058   1288 -25.00       0.5322     0.0332       0.7964       18       18             AFZ
 11998.097   1288 -25.00       0.5376     0.0331       0.8839       18       18             AFZ
 12002.098   1288 -25.00       0.5414     0.0328       0.7951       18       18             AFZ
 12006.092   1288 -25.00       0.5443     0.0325       0.7375       18       18             AFZ
 12010.094   1288 -25.00       0.5500     0.0325       0.9388       18       18             AFZ
 12014.124   1288 -25.00       0.5537     0.0322       0.8114       18       18             AFZ
 12018.152   1288 -20.00       0.5588     0.0322       0.9115       18       18             AFZ
 12022.176   1288 -20.00       0.5632     0.0320       0.8804       18       18             AFZ
 12026.223   1288 -20.00       0.5678     0.0319       0.8928       18       18             AFZ
 12030.244   1288 -20.00       0.5728     0.0319       0.9409       18       18             AFZ
 12034.278   1288 -20.00       0.5764     0.0317       0.8391       18       18             AFZ
 12038.299   1288 -20.00       0.5796     0.0314       0.8264       18       18             AFZ
 12042.310   1288 -20.00       0.5842     0.0313       0.9268       18       18             AFZ
 12046.341   1288 -20.00       0.5881     0.0312       0.8894       18       18             AFZ
 12050.354   1288 -20.00       0.5915     0.0310       0.8621       18       18             AFZ
 12054.414   1288 -20.00       0.5944     0.0307       0.8207       18       18             AFZ
 12058.463   1288 -15.00       0.5987     0.0306       0.9428       18       18             AFZ
 12062.501   1288 -15.00       0.6019     0.0304       0.8590       18       18             AFZ
 12066.517   1288 -15.00       0.6053     0.0302       0.8892       18       18             AFZ
 12070.548   1288 -15.00       0.6089     0.0301       0.9046       18       18             AFZ
 12074.549   1288 -15.00       0.6123     0.0299       0.8964       18       18             AFZ
 12078.555   1288 -15.00       0.6147     0.0297       0.8172       18       18             AFZ
 12082.586   1288 -15.00       0.6176     0.0295       0.8706       18       18             AFZ
 12086.590   1288 -15.00       0.6206     0.0293       0.8821       18       18             AFZ
 12090.639   1288 -15.00       0.6243     0.0292       0.9526       18       18             AFZ
 12094.666   1288 -15.00       0.6272     0.0290       0.8807       18       18             AFZ
 12098.682   1288 -15.00       0.6296     0.0288       0.8510       18       18             AFZ
 12102.691   1288 -10.00       0.6306     0.0285       0.7137       18       18             AFZ
 12106.759   1288 -10.00       0.6333     0.0283       0.8825       18       18             AFZ
 12110.767   1288 -10.00       0.6355     0.0281       0.8438       18       18             AFZ
 12114.768   1288 -10.00       0.6380     0.0279       0.8746       18       18             AFZ
 12118.833   1288 -10.00       0.6402     0.0277       0.8473       18       18             AFZ
 12122.845   1288 -10.00       0.6426     0.0275       0.8757       18       18             AFZ
 12126.865   1288 -10.00       0.6438     0.0273       0.7561       18       18             AFZ
 12130.919   1288 -10.00       0.6462     0.0271       0.8774       18       18             AFZ
 12134.930   1288 -10.00       0.6475     0.0269       0.7792       18       18             AFZ
 12138.931   1288 -10.00       0.6497     0.0267       0.8731       18       18             AFZ
 12142.911   1288 -10.00       0.6513     0.0265       0.8073       18       18             AFZ
 12146.949   1288  -5.00       0.6505     0.0262       0.5690       18       18             AFZ
 12150.972   1288  -5.00       0.6520     0.0260       0.8110       18       18             AFZ
 12155.003   1288  -5.00       0.6525     0.0258       0.7026       18       18             AFZ
 12159.063   1288  -5.00       0.6545     0.0256       0.8705       18       18             AFZ
 12163.101   1288  -5.00       0.6567     0.0255       0.8895       18       18             AFZ
 12167.125   1288  -5.00       0.6583     0.0253       0.8271       18       18             AFZ
 12171.160   1288  -5.00       0.6601     0.0251       0.8485       18       18             AFZ
 12175.213   1288  -5.00       0.6614     0.0249       0.8104       18       18             AFZ
 12179.268   1288  -5.00       0.6625     0.0247       0.7785       18       18             AFZ
 12183.337   1288  -5.00       0.6623     0.0245       0.6402       18       18             AFZ
 12187.330   1288   0.00       0.6636     0.0243       0.8088       18       18             AFZ
 12191.347   1288   0.00       0.6648     0.0241       0.8061       18       18             AFZ
 12195.385   1288   0.00       0.6646     0.0239       0.6400       18       18             AFZ
 12199.430   1288   0.00       0.6647     0.0237       0.6784       18       18             AFZ
 12203.458   1288   0.00       0.6637     0.0236       0.5491       18       18             AFZ
 12207.462   1288   0.00       0.6645     0.0234       0.7555       18       18             AFZ
 12211.478   1288   0.00       0.6645     0.0232       0.6602       18       18             AFZ
 12215.472   1288   0.00       0.6656     0.0230       0.7942       18       18             AFZ
 12219.529   1288   0.00       0.6663     0.0228       0.7570       18       17             AFZ
 12223.541   1288   0.00       0.6657     0.0226       0.5950       18       17             AFZ
 12227.569   1288   0.00       0.6658     0.0225       0.6767       18       17             AFZ
 12231.617   1288   5.00       0.6668     0.0223       0.7879       18       17             AFZ
